date,product,role,long_oi,short_oi,net_oi,long_trade,short_trade,net_trade
2018-08-01,小型臺指,投信,134,0,134,7,0,7
2018-08-01,小型臺指,自營商,22192,13104,9088,6770,6628,142
2018-08-01,臺股期貨,外資,83114,28407,54707,39636,38741,895
2018-08-01,臺股期貨,投信,2640,26111,-23471,94,24,70
2018-08-01,臺股期貨,自營商,9739,17401,-7662,13030,13124,-94
2018-08-02,小型臺指,外資,1071,5330,-4259,42140,47048,-4908
2018-08-02,小型臺指,投信,134,0,134,0,0,0
2018-08-02,小型臺指,自營商,20385,12882,7503,9414,10987,-1573
2018-08-02,臺股期貨,外資,81977,28059,53918,59812,62980,-3168
2018-08-02,臺股期貨,投信,2571,26842,-24271,18,818,-800
2018-08-02,臺股期貨,自營商,9296,16271,-6975,21628,20944,684
2018-08-03,小型臺指,外資,2599,3917,-1318,32581,29632,2949
2018-08-03,小型臺指,投信,134,0,134,0,0,0
2018-08-03,小型臺指,自營商,20856,14391,6465,7551,8557,-1006
2018-08-03,臺股期貨,外資,83749,25921,57828,49704,45796,3908
2018-08-03,臺股期貨,投信,2580,25948,-23368,929,26,903
2018-08-03,臺股期貨,自營商,8965,16429,-7464,13324,13821,-497
2018-08-06,小型臺指,外資,2186,2377,-191,37538,36407,1131
2018-08-06,小型臺指,投信,134,0,134,0,0,0
2018-08-06,小型臺指,自營商,22366,16039,6327,9666,9808,-142
2018-08-06,臺股期貨,外資,81350,24895,56455,54725,56100,-1375
2018-08-06,臺股期貨,投信,2622,25943,-23321,76,29,47
2018-08-06,臺股期貨,自營商,9162,15866,-6704,17735,16974,761
2018-08-07,小型臺指,外資,2575,2182,393,29550,28966,584
2018-08-07,小型臺指,投信,134,0,134,0,0,0
2018-08-07,小型臺指,自營商,21956,16755,5201,6654,7800,-1146
2018-08-07,臺股期貨,外資,82590,25878,56712,42611,42354,257
2018-08-07,臺股期貨,投信,2578,26156,-23578,0,257,-257
2018-08-07,臺股期貨,自營商,8602,16006,-7404,13652,14347,-695
2018-08-08,小型臺指,外資,4099,1640,2459,27726,25707,2019
2018-08-08,小型臺指,投信,134,0,134,0,0,0
2018-08-08,小型臺指,自營商,24195,18772,5423,9052,8867,185
2018-08-08,臺股期貨,外資,86111,26188,59923,43178,39967,3211
2018-08-08,臺股期貨,投信,2633,26121,-23488,273,183,90
2018-08-08,臺股期貨,自營商,10054,18321,-8267,17081,17944,-863
2018-08-09,小型臺指,外資,4873,1650,3223,30164,29400,764
2018-08-09,小型臺指,投信,143,0,143,9,0,9
2018-08-09,小型臺指,自營商,24033,18032,6001,9127,8597,530
2018-08-09,臺股期貨,外資,83980,25678,58302,42567,44188,-1621
2018-08-09,臺股期貨,投信,2668,26575,-23907,1164,1583,-419
2018-08-09,臺股期貨,自營商,8322,15084,-6762,16685,15168,1517
2018-08-10,小型臺指,外資,4037,1701,2336,26145,27020,-875
2018-08-10,小型臺指,投信,144,0,144,1,0,1
2018-08-10,小型臺指,自營商,22508,18305,4203,7829,9471,-1642
2018-08-10,臺股期貨,外資,81829,25992,55837,50962,53430,-2468
2018-08-10,臺股期貨,投信,2632,26854,-24222,3845,4160,-315
2018-08-10,臺股期貨,自營商,7868,14152,-6284,16700,16261,439
2018-08-13,小型臺指,外資,743,8210,-7467,51866,61657,-9791
2018-08-13,小型臺指,投信,144,0,144,0,0,0
2018-08-13,小型臺指,自營商,19398,20585,-1187,16876,21142,-4266
2018-08-13,臺股期貨,外資,78052,32944,45108,119555,130287,-10732
2018-08-13,臺股期貨,投信,2538,27330,-24792,13419,13989,-570
2018-08-13,臺股期貨,自營商,7528,14142,-6614,37812,38423,-611
2018-08-14,小型臺指,外資,1003,4427,-3424,44745,43886,859
